KEY,TW,CN,EN
Language,繁體中文,简体中文,English
Exchange,分數兌換,分数兑换,Exchange
Denom,兌換比例,兑换比例,Denom
Cashout,分數結算,分数结算,Cash Out
Credit,遊戲分數,游戏分数,Credit
Cashchange,兌換金額,兑换金额,Cash Out
Balance,可用餘額,可用余额,Balance
UserInfo,會員帳號\n可用餘額\n目前分數\n兌換分數,会员帐号\n可用余额\n目前分数\n兑换分数,User ID \nBalance \nCredit \nExchange
GameSetting,遊戲設定,游戏设定,Game Setting
SoundOn,音效/開,音效/开,Mute / ON
SoundOff,音效/關,音效/关,Mute / Off
MusicOn,音樂/開,音乐/开,Music / ON
MusicOff,音樂/關,音乐/关,Music / Off
Music,音樂,音乐,Music
History,下注記錄,下注记录,History
Rule,規則,规则,Rule
GameRule,遊戲說明,游戏说明,Game Rule
Exit,登出,登出,Exit
LanguageGameVersion,語系設定\n遊戲版本,语系设定\n游戏版本,Language \nGame Version
LanguageSetting,語系設定,语系设定,Language Setting
Login,登入,登入,Login
UserID,會員帳號,会员帐号,User ID
Password,密　　碼,密　　码,Password
StoreAccountPassword,儲存帳號,储存帐号,Store Account
GameHistory,夜市人生 - 下注記錄,夜市人生 - 下注记录,Night Market - History
Time,時　間,时　间,Time
Wager,注　單,注　单,Wager
Result,結　果,结　果,Result
Win,贏,赢,Win
Lose,輸,输,Lose
BetAmountInTotal,總投注,总投注,Bet amount\nin total
TotalPayoff,總派彩,总派彩,Total payoff
JackPotInformation,彩金資料(RMB),彩金资料(RMB),JackPot Information\n(RMB)
Subtotal,小計,小计,Subtotal
Total,總計,总计,Total
BaseNote,基注(額度：分數),基注(额度：分数),Base Note\n(Line: Fraction)
PerLine,每線,每线,Per line
TotalLine,共,共,total
Line,(線),(线),(line)
Totals,總共：,总共：,Total：
Dollar,(元),(元),(dollar)
BettingInf,下注資訊,下注资讯,Betting\nInformation
DisplayMode,顯示模式,显示模式,Display Mode
Score,分數,分数,Score
WagerDetail,下注明細,下注明细,Wager Detail
DetailedWagers,注單明細,注单明细,Detailed Wagers
ModuleData,牌組資料,牌组资料,Module Data
Amount,金　額,金　额,Amount
SN,局號,局号,SN
WinScore,贏得分數,赢得分数,WIN
Credits,可用分數,可用分数,CREDITS
TotalBet,下注分數,下注分数,TOTALBET
Shihlin,★士 林 夜 市★,★士 林 夜 市★,★Shihlin★\nNight Market
FengChia,★逢 甲 夜 市★,★逢 甲 夜 市★,★Feng Chia★\nNight Market
Flower,★花 園 夜 市★,★花 园 夜 市★,★Flower★\nNight Market
Liouho,★六 合 夜 市★,★六 合 夜 市★,★Liouho★\nNight Market
Multiplier,可額外獲得倍率,可额外获得倍率,Multiplier
FreeGames,免費次數,免费次数,FreeGames
FGRule,如為自動模式或10秒未選擇，則系統隨機選擇其一進行遊戲。,如为自动模式或10秒未选择，则系统随机选择其一进行游戏。,"If in the auto mode or haven't chosen within 10 seconds，\n　  the system will start one of the games automatically."
WithdrawalsPassword,取款密碼,取款密码,Withdrawals Password
VerificationCode,驗證碼,验证码,Verification Code
ConnectMsg,"連線中...","连线中...","Connecting..."
Step,步驟說明,步骤说明,Step
Step01,"01.點擊「兌換比例」，選擇分數兌現比例","01.点击「兑换比例」，选择分数兑现比例","01.Click Denom button to choose the\nexchange ratio"
Step02,"02.點擊「兌換比例」，選擇分數兌現比例","02.点击「兑换比例」，选择分数兑现比例","02.Click Denom button to choose the\nexchange ratio"
Step03,"03.點擊「5,000」進行分數兌換，再點擊\n　  「進入遊戲」","03.点击「5,000」进行分数兑换，再点击\n　  「进入游戏」","03.Click 5000 button to exchange\n　  credits, then click star button"
Step04,"04.或點擊「其他」，自行輸入兌換分數","04.或点击「其他」，自行输入兑换分数","04.Or click More button to input\nexchange credit"
Step05,"05.或點擊「其他」，自行輸入兌換分數","05.或点击「其他」，自行输入兑换分数","05.Or click More button to input\nexchange credit"
Step06,"06.點擊「結算離開」將目前分數依原比例\n　  換回可用餘額 ","06.点击「结算离开」将目前分数依原比例\n 　 换回可用余额","06.Click Cash Out Exit button, the credits\n 　 will be exchange back to money by\n 　 original ratio"
Step07,"07.點擊「確定離開」將離開遊戲","07.点击「确定离开」将离开游戏","07.Click Exit button to leave the game "
Step08,"08.或點擊遊戲設定中的「離開」，系統將\n 　 依原比例結算分數","08.或点击游戏设定中的「离开」，系统将\n 　 依原比例结算分数","08.Or click exit button in Setting, the\n 　 sysyte mwill cash out the credits by\n 　 original ratio"
SystemMessage,系統訊息,系统讯息,System Message
